research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,ladle furnace slag line refractory radiation protection materials,0.8866009712219238,0.9002408981323242,0.8933688998222351
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,ladle furnace slag line refractory radiation shield design,0.8642432689666748,0.8739822506904602,0.8690855503082275
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,ladle furnace slag line refractory thermal radiation shielding design,0.8940417170524597,0.903836190700531,0.898912250995636
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,ladle furnace slag line radiation shield refractory coating application,0.8775683045387268,0.8584567308425903,0.8679072856903076
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",ladle furnace slag line radiation shield refractory panel installation,0.857842743396759,0.8576840758323669,0.857763409614563
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",ladle furnace slag foaming agent calcium carbide silicon carbide injection,0.8610789179801941,0.8450824022293091,0.8530057072639465
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",ladle furnace slag line radiation shield refractory coating thermal barrier,0.9301433563232422,0.9146037697792053,0.9223081469535828
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,ladle furnace arc radiation shielding refractory design patent,0.8245553970336914,0.8120301961898804,0.8182448744773865
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,ladle furnace slag line refractory thermal conductivity arc radiation,0.882295548915863,0.8320973515510559,0.8564615249633789
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",ladle furnace slag line refractory coating spray application,0.8271812200546265,0.8269150257110596,0.827048122882843
How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection",ladle furnace arc radiation shielding refractory design thermal barrier,0.8697670102119446,0.8606634140014648,0.8651912808418274
How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment",ladle furnace slag line refractory thermal conductivity radiation shielding materials,0.8682053089141846,0.8625125885009766,0.8653495907783508
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",RH degasser snorkel refractory wear mechanisms oxygen injection,0.842715859413147,0.8258038759231567,0.8341741561889648
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",RH degasser snorkel refractory wear mechanisms oxygen injection chemical corrosion,0.8480401039123535,0.8155331611633301,0.8314690589904785
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,BOF high scrap ratio lance design parameters oxygen flow rate,0.8798019886016846,0.8978837728500366,0.8887509107589722
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,BOF high scrap ratio post-combustion oxygen flow rate optimization,0.9125515818595886,0.9214882850646973,0.9169981479644775
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,BOF lance nozzle design high scrap ratio skull prevention,0.8925742506980896,0.8854295611381531,0.8889875411987305
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,BOF high scrap ratio lance tip wear refractory erosion,0.8435966372489929,0.8584021925926208,0.8509349822998047
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,BOF scrap preheating temperature lance oxygen enrichment,0.853998601436615,0.8675692081451416,0.8607304096221924
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,BOF scrap preheating temperature lance oxygen enrichment scrap ratio,0.8686298131942749,0.8635486364364624,0.8660817742347717
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,BOF scrap preheating temperature lance oxygen enrichment scrap ratio,0.8689809441566467,0.8612922430038452,0.865119457244873
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,BOF scrap preheating temperature range skull reduction lance configuration,0.8547277450561523,0.8087539076805115,0.8311054706573486
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,BOF scrap preheating temperature lance configuration interaction 600°C,0.8280851244926453,0.8188031911849976,0.8234180212020874
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,BOF lance tip wear skull adhesion refractory erosion high scrap charge,0.8545464277267456,0.8614031076431274,0.8579610586166382
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,11,Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO,BOF scrap preheating temperature lance configuration interaction trials,0.8496728539466858,0.819706916809082,0.8344209790229797
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,12,Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF,BOF lance tip nozzle number arrangement scrap melting pattern,0.8398308753967285,0.8392542600631714,0.8395425081253052
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,13,Double flow post combustion lance tip life doubled scrap consumption increase trials,BOF lance tip nozzle angle degrees scrap melting post combustion optimization,0.8920819163322449,0.8848721385002136,0.8884623646736145
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,14,Lance height increase higher post combustion ratio FeO foamy slag PCR converter,BOF lance tip angle degrees scrap melting post combustion efficiency,0.8850491642951965,0.8669147491455078,0.8758881092071533
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,15,Optimization swirl flow post-combustion oxygen lance parameters CFD 260-ton converter,BOF lance nozzle angle scrap melting skull prevention trials,0.8452787399291992,0.8378288745880127,0.841537356376648
